"eventtype","gruppo","quota_sopra_media"
"250",others,0.0000
"250",others,0.0000
"250",others,0.0000
"250","76_150",0.0526
"500","76_150",0.3077
"250",others,0.0263
"250",others,0.0263
"500",others,0.0769
"250","76_150",0.1053
"500","76_150",0.0000
"250",others,0.0000
"500",others,0.0000
"250",others,0.0000
"250",top_75,0.0526
"500",top_75,0.1538
"250",top_75,0.0789
"500",top_75,0.0000
"250",top_75,0.0000
"250",others,0.0000
"250",top_75,0.0263
"500",top_75,0.0769
"250",others,0.0000
"250","76_150",0.0000
"500","76_150",0.0000
"250",others,0.0263
"500",others,0.0769
"250","76_150",0.0526
"500","76_150",0.0000
"250",others,0.0000
"250",others,0.0263
"250",others,0.0000
"250",top_75,0.1053
"500",top_75,0.0000
"250",top_75,0.0263
"500",top_75,0.0000
"250",top_75,0.0789
"500",top_75,0.1538
"250","76_150",0.0789
"500","76_150",0.0000
"250","76_150",0.0789
"500","76_150",0.0769
"250",others,0.0789
"250",others,0.0263
"500",others,0.0000
"250","76_150",0.1053
"500","76_150",0.0769
"250",others,0.0789
"500",others,0.0000
"250",others,0.0263
"500",others,0.0769
"250",others,0.0000
"250",others,0.0263
"500",others,0.0769
"250","76_150",0.0789
"500","76_150",0.0769
"250","76_150",0.0526
"500","76_150",0.0000
"250",others,0.0000
"250",others,0.0263
"250",others,0.0000
"250",top_75,0.0000
"250",others,0.0000
"500",others,0.0000
"250","76_150",0.0000
"500","76_150",0.0000
"250",others,0.0000
"250","76_150",0.0000
"250","76_150",0.0526
"500","76_150",0.0000
"250",top_75,0.0526
"500",top_75,0.0000
"250",top_75,0.0263
"500",top_75,0.0769
"250",others,0.0000
"250",others,0.0789
"500",others,0.0000
"250",others,0.0000
"250",others,0.0263
"250",others,0.0263
"500",others,0.0000
"250",others,0.0000
"500",others,0.0000
"250","76_150",0.0263
"250","76_150",0.0263
"500","76_150",0.0000
"250",others,0.0000
"250",others,0.0789
"250",others,0.0000
"500",others,0.0000
"250",others,0.0526
"250",others,0.0000
"500",others,0.0000
"250",others,0.0263
"250",others,0.0526
"500",others,0.0769
"250","76_150",0.0526
"250","76_150",0.0000
"500","76_150",0.0000
"250","76_150",0.0526
"500","76_150",0.0000
"250",others,0.0000
"250",top_75,0.0526
"500",top_75,0.0000
"250",others,0.0263
"250",others,0.0000
"250",others,0.0263
"250",top_75,0.1053
"500",top_75,0.0000
"250",others,0.0263
"500",others,0.0000
"250",top_75,0.0526
"500",top_75,0.1538
"250",others,0.0263
"250",others,0.0263
"500",others,0.0000
"250","76_150",0.0526
"500","76_150",0.0769
"250","76_150",0.0000
"500","76_150",0.0000
"250",top_75,0.1053
"500",top_75,0.0769
"250",others,0.0000
"250",others,0.0000
"250",others,0.0263
"500",others,0.0769
"250","76_150",0.0263
"500","76_150",0.0000
"500",others,0.0769
"250",top_75,0.1053
"500",top_75,0.0000
"250",others,0.0000
"250",others,0.0000
"250","76_150",0.0263
"500","76_150",0.0769
"250",others,0.0263
"500",others,0.0769
"250",others,0.0000
"250","76_150",0.0263
"500","76_150",0.0769
"250",top_75,0.1579
"500",top_75,0.0000
"250",others,0.0789
"250","76_150",0.0526
"500","76_150",0.0769
"250",others,0.0000
"500",others,0.0000
"250","76_150",0.0789
"500","76_150",0.0769
"250","76_150",0.0263
"500","76_150",0.0769
"250",others,0.0263
"500",others,0.0769
"250",others,0.0263
"250","76_150",0.0789
"500","76_150",0.0769
"250",top_75,0.0789
"500",top_75,0.0769
"500",others,0.0000
"250",others,0.0263
"500",others,0.0000
"250",others,0.0263
"250","76_150",0.0789
"500","76_150",0.0000
"500",others,0.0000
"250",others,0.0263
"250",others,0.0000
"250","76_150",0.0526
"500","76_150",0.0769
"250",others,0.0000
"250",top_75,0.0526
"500",top_75,0.0769
"250",others,0.0000
"250",others,0.0000
"500",others,0.0000
"250",others,0.0789
"500",others,0.1538
"250",others,0.0263
"500",others,0.0000
"250","76_150",0.0789
"500","76_150",0.0769
"250",top_75,0.0263
"500",top_75,0.0769
"250",others,0.0000
"250","76_150",0.0789
"500","76_150",0.0000
"250","76_150",0.1316
"500","76_150",0.1538
"250",others,0.0263
"250",others,0.0000
"250",others,0.0526
"500",others,0.0000
"250",others,0.0263
"500",others,0.0000
"250",top_75,0.0526
"500",top_75,0.1538
"250",others,0.0263
"250",others,0.0263
"250","76_150",0.1053
"500","76_150",0.2308
"250",others,0.0263
"250","76_150",0.0526
"250",others,0.0263
"500",others,0.0769
"250",others,0.0526
"250",others,0.0263
"250",top_75,0.0263
"500",top_75,0.0769
"250","76_150",0.0263
"500","76_150",0.0000
"250","76_150",0.0789
"500","76_150",0.0769
"250",others,0.0000
"500",others,0.0769
"250",others,0.0789
"500",others,0.0000
"250",others,0.0000
"250",others,0.0000
"250","76_150",0.0789
"500","76_150",0.0769
"250","76_150",0.0263
"500","76_150",0.0769
"250",top_75,0.0263
"250",others,0.0526
"250","76_150",0.0789
"500","76_150",0.0000
"250","76_150",0.0263
"500","76_150",0.0000
"250",others,0.0000
"250","76_150",0.0263
"250",others,0.0263
"250",top_75,0.0789
"500",top_75,0.0769
"250",top_75,0.1053
"500",top_75,0.1538
"250",others,0.0000
"250",others,0.0000
"250",top_75,0.0263
"500",top_75,0.0769
"250",others,0.0263
"250","76_150",0.1053
"500","76_150",0.0769
"250",others,0.0263
"250",others,0.0000
"250",others,0.0000
"500",others,0.0769
"250",others,0.0263
"500",others,0.0000
"500",others,0.0000
"250","76_150",0.0526
"500","76_150",0.0769
"250",others,0.0000
"500",others,0.0769
"250","76_150",0.0263
"500","76_150",0.1538
"250",others,0.0000
"250",others,0.0000
"250",others,0.0263
"250",others,0.0263
"500",others,0.0000
"250",others,0.0000
"250",others,0.0263
"500",others,0.0000
"250","76_150",0.0263
"500","76_150",0.0769
"250",others,0.0263
"250",others,0.0789
"250",top_75,0.0526
"500",top_75,0.0769
"250",others,0.0263
"500",others,0.0769
"250",top_75,0.0789
"500",top_75,0.0000
"250",others,0.0263
"250",others,0.0000
"250",others,0.0263
"500",others,0.0000
"250","76_150",0.0000
"500","76_150",0.0000
"250",others,0.0000
"500",others,0.0000
"250",top_75,0.0789
"500",top_75,0.1538
"250",others,0.0526
"250",others,0.0000
"250","76_150",0.0000
"500","76_150",0.0769
"250",others,0.0263
"250","76_150",0.0000
"500","76_150",0.0769
"250","76_150",0.0789
"500","76_150",0.0000
"250","76_150",0.1053
"500","76_150",0.0769
"250","76_150",0.0000
"500","76_150",0.0769
"250","76_150",0.0000
"500","76_150",0.0000
"250","76_150",0.1316
"500","76_150",0.0000
"250",others,0.0000
"500",others,0.0769
"250",others,0.0000
"250",others,0.0263
"500",others,0.0000
"250",others,0.0000
