Player Id,Player Name,Nationality
s0re,J. Shang,chn
bd06,R. Bautista Agut,esp
mc65,G. Monfils,fra
gb88,D. Goffin,bel
su87,L. Sonego,ita
ki95,M. Kecmanovic,srb
mp20,A. Muller,fra
m0ci,F. Marozsan,hun
su55,D. Shapovalov,can
cf59,R. Carballes Baena,esp
rc91,A. Rinderknech,fra
mu94,J. Munar,esp
sx50,R. Safiullin,rus
n732,Y. Nishioka,jpn
o483,C. O'Connell,aus
y09v,Y. Bu,chn
bu13,Z. Bergs,bel
v832,A. Vukic,aus
dh50,A. Davidovich Fokina,esp
mw02,C. Moutet,fra
bm95,B. Bonzi,fra
hb64,Q. Halys,fra
s0h2,A. Shevchenko,kaz
me82,A. Mannarino,fra
n552,K. Nishikori,jpn
l987,D. Lajovic,srb
sx91,T. Seyboth Wild,bra
kd46,T. Kokkinakis,aus
d0cg,F. Diaz Acosta,arg
h0bh,R. Hijikata,aus
c0h0,A. Cazaux,fra
g09o,H. Gaston,fra
v812,B. van de Zandschulp,ned
d923,D. Dzumhur,bih
da81,T. Daniel,jpn
c0df,F. Comesana,arg
f0by,J. Fearnley,gbr
d0f6,G. Diallo,can
cg80,B. Coric,cro
f510,F. Fognini,ita
n0bg,L. Nardi,ita
w09e,A. Walton,aus
v0am,O. Virtanen,fin
ae14,D. Altmaier,ger
d994,J. Duckworth,aus
u182,C. Ugo Carabelli,arg
n897,S. Nagal,ind
ce77,F. Coria,arg
h997,Y. Hanfmann,ger
k09f,P. Kotov,rus
f724,M. Fucsovics,hun
b0gg,M. Bellucci,ita
ph71,M. Purcell,aus
e865,C. Eubanks,usa
pf39,L. Pouille,fra
p0ct,F. Passaro,ita
mj08,T. Monteiro,bra
mw18,N. Moreno De Alboran,usa
k0az,A. Kovacevic,usa
k926,M. Kukushkin,kaz
o513,S. Ofner,aut
d0c1,J. de Jong,ned
m0jf,H. Medjedovic,srb
f0fv,J. Fonseca,bra
db63,L. Djere,srb
t0a1,T. Tirante,arg
m0g4,H. Mayot,fra
mq75,K. Majchrzak,pol
t0ap,C. Tseng,tpe
c0jp,R. Collignon,bel
t0ha,L. Tien,usa
rc04,A. Ritschard,sui
da31,H. Dellien,bol
ke73,D. Koepfer,ger
f0f2,J. Faria,por
ki82,V. Kopriva,cze
hd68,B. Harris,gbr
ge33,D. Galan,col
kc04,J. Kovalik,svk
v0dz,L. Van Assche,fra
mk66,M. McDonald,usa
rh24,E. Ruusuvuori,fin
g628,R. Gasquet,fra
b0nn,N. Basavareddy,usa
b0ej,T. Boyer,usa
k0ep,J. Kym,sui
gj16,F. Gomez,arg
hg86,L. Harris,rsa
r0fs,L. Riedi,sui
a0cj,D. Ajdukovic,cro
c0c8,J. Cerundolo,arg
ta29,M. Trungelliti,arg
bf23,F. Bagnis,arg
l0il,M. Landaluce,esp
bk24,G. Barrere,fra
ki63,L. Klein,svk
g0gd,M. Gigante,ita
u134,Y. Uchiyama,jpn
kc12,M. Krueger,usa
h996,P. Herbert,fra
mw75,F. Meligeni Alves,bra
gd64,C. Garin,chi
b0fv,R. Burruchaga,arg
bs86,T. Barrios Vera,chi
gf95,H. Grenier,fra
bi81,A. Bolt,aus
a0gc,T. Atmane,fra
m0k4,E. Moller,den
w367,S. Wawrinka,sui
a829,R. Albot,mda
e687,D. Evans,gbr
hc21,S. Hong,kor
va25,V. Vacherot,mon
r772,A. Ramos-Vinolas,esp
m0ht,A. Moro Canas,esp
s0k7,Z. Svajda,usa
r09x,J. Rodionov,aut
hh06,M. Huesler,sui
n679,S. Napolitano,ita
q02l,E. Quinn,usa
m0hu,S. Mochizuki,jpn
o522,R. Opelka,usa
w0bh,C. Wong,hkg
s0n0,T. Schoolkate,aus
r0go,H. Rocha,por
h0du,G. Heide,bra
n409,R. Nadal,esp
lb66,C. Lestienne,fra
s0ak,H. Squire,ger
tc01,L. Tu,aus
j553,O. Jasika,aus
ch12,J. Choinski,gbr
c977,M. Cilic,cro
pg20,D. Popko,kaz
cd85,P. Carreno Busta,esp
d0dw,T. Droguet,fra
dc48,M. Dellien,bol
mn13,M. Marterer,ger
t0bw,J. Trotter,jpn
j0a4,P. Jubb,gbr
g0fw,V. Gaubas,ltu
c0bh,C. Chidekh,fra
bo10,G. Brouwer,ned
fa43,J. Ficovich,arg
sy67,S. Shimabukuro,jpn
s0aq,Y. Shimizu,jpn
s0gr,T. Skatov,kaz
k0e6,A. Kachmazov,rus
te16,C. Taberner,esp
h09n,A. Holmgren,den
gk06,A. Galarneau,can
h0a4,N. Hardt,dom
hb48,C. Hemery,fra
r0eb,V. Royer,fra
h09p,B. Holt,usa
b0pg,A. Blockx,bel
cc66,A. Collarini,arg
e768,A. Escoffier,fra
k0a3,P. Kypson,usa
k0hc,M. Kasnikowski,pol
bg23,N. Basilashvili,geo
mw76,M. Martineau,fra
v836,J. Varillas,per
n0am,E. Nava,usa
ta46,B. Tomic,aus
sr81,K. Sultanov,uzb
n0cs,L. Neumayer,aut
a0ab,A. Andreev,bul
j09x,F. Jianu,rou
hf80,H. Habib,lbn
ml57,G. Mager,ita
mj98,F. Mena,arg
hg94,B. Hassan,lbn
m0aw,N. Mejia,col
rb60,O. Roca Batalla,esp
ta12,S. Travaglia,ita
bv16,U. Blanchet,fra
bv25,J. Barranco Cosano,esp
s0gd,D. Svrcina,cze
kc56,A. Karatsev,rus
df88,A. Dougaz,tun
s0ja,E. Spizzirri,usa
a0ba,F. Arnaboldi,ita
v0dp,A. Vallejo,par
l0gh,M. Lajal,est
b0id,I. Buse,per
o0a2,G. Onclin,bel
cg94,E. Couacaud,fra
w857,T. Wu,tpe
r975,M. Raonic,can
b0gr,G. Bueno,per
ag08,A. Andrade,ecu
m0if,F. Maestrelli,ita
z09z,B. Zhukayev,kaz
o482,G. Oliveira,ven
z0a1,G. Zeppieri,ita
d0dp,L. Draxl,can
s0ek,M. Soto,chi
p09o,Z. Piros,hun
c0bc,M. Cressy,usa
y171,D. Yevseyev,kaz
s0nv,A. Shelbayh,jor
m0ea,P. Martin Tiffon,esp
b0mm,E. Butvilas,ltu
d0hd,G. Debru,fra
h09f,Y. Hsu,tpe
mn20,D. Masur,ger
be69,Y. Bai,chn
m0oq,J. McCabe,aus
g09c,M. Gengel,cze
sm88,K. Sell,bra
gh33,M. Guinard,fra
ph64,A. Pellegrino,ita
w09g,J. Wolf,usa
b0jj,R. Bertrand,fra
ga79,L. Giustino,ita
d0l3,M. Dodig,cro
kb09,D. Kudla,usa
g0dh,A. Guillen Meza,ecu
ci14,J. Clarke,gbr
j0az,K. Jacquet,fra
r0ed,M. Rehberg,ger
m0nb,A. Mayo,usa
z419,B. Zapata Miralles,esp
v0di,S. Vincent Ruggeri,ita
dg80,E. Dalla Valle,ita
r0fp,D. Rincon,esp
bv21,C. Broom,gbr
sx90,F. Sun,chn
