Date,Location
2 Jan,"Adelaide International 1Adelaide, AustraliaATP 250Hard – $642,735 – 32S/16Q/24DSingles–Doubles"
2 Jan,"Maharashtra OpenPune, IndiaATP 250Hard – $713,495 – 28S/16Q/16DSingles–Doubles"
9 Jan,"Adelaide International 2Adelaide, AustraliaATP 250Hard – $642,735 – 28S/16Q/24DSingles–Doubles"
9 Jan,"Auckland OpenAuckland, New ZealandATP 250Hard – $713,495 – 28S/16Q/16DSingles–Doubles"
6 Feb,"Córdoba OpenCórdoba, ArgentinaATP 250Clay (red) – $713,495 – 28S/16Q/16DSingles–Doubles"
6 Feb,"Open Sud de FranceMontpellier, FranceATP 250Hard (i) – €630,705 – 28S/16Q/16DSingles–Doubles"
6 Feb,"Dallas OpenDallas, United StatesATP 250Hard (i) – $822,175 – 28S/16Q/16DSingles–Doubles"
13 Feb,"Rotterdam OpenRotterdam, NetherlandsATP 500Hard (i) – €2,224,460 – 32S/16Q/16DSingles–Doubles"
13 Feb,"Argentina OpenBuenos Aires, ArgentinaATP 250Clay (red) – $711,600 – 28S/16Q/16DSingles–Doubles"
13 Feb,"Delray Beach OpenDelray Beach, United StatesATP 250Hard – $718,245 – 28S/16Q/16DSingles–Doubles"
20 Feb,"Rio OpenRio de Janeiro, BrazilATP 500Clay (red) – $2,013,940 – 32S/16Q/16DSingles–Doubles"
20 Feb,"Open 13Marseille, FranceATP 250Hard (i) – €707,510 – 28S/16Q/16DSingles–Doubles"
20 Feb,"Qatar OpenDoha, QatarATP 250Hard – $1,377,025 – 28S/16Q/16DSingles–Doubles"
27 Feb,"Mexican OpenAcapulco, MexicoATP 500Hard – $2,013,940 – 32S/16Q/16DSingles–Doubles"
27 Feb,"Dubai Tennis ChampionshipsDubai, United Arab EmiratesATP 500Hard – $2,855,495 – 32S/16Q/16DSingles–Doubles"
27 Feb,"Chile OpenSantiago, ChileATP 250Clay (red) – $642,735 – 28S/16Q/16DSingles–Doubles"
3 Apr,"U.S. Men's Clay Court ChampionshipsHouston, United StatesATP 250Clay (maroon) – $642,735 – 28S/16Q/16DSingles–Doubles"
3 Apr,"Grand Prix Hassan IIMarrakesh, MoroccoATP 250Clay (red) – €562,815 – 28S/16Q/16DSingles–Doubles"
3 Apr,"Estoril OpenCascais, PortugalATP 250Clay (red) – €562,815 – 28S/16Q/16DSingles–Doubles"
17 Apr,"Barcelona OpenBarcelona, SpainATP 500Clay (red) – €2,722,480 – 48S/24Q/16DSingles–Doubles"
17 Apr,"Bavarian International TennisChampionshipsMunich, GermanyATP 250Clay (red) – €562,815 – 28S/16Q/16DSingles–Doubles"
17 Apr,"Srpska OpenBanja Luka, Bosnia and HerzegovinaATP 250Clay (red) – €562,815 – 28S/16Q/16DSingles–Doubles"
22 May,"Geneva OpenGeneva, SwitzerlandATP 250Clay (red) – €562,815 – 28S/16Q/16DSingles–Doubles"
22 May,"Lyon OpenLyon, FranceATP 250Clay (red) – €562,815 – 28S/16Q/16DSingles–Doubles"
12 Jun,"Stuttgart OpenStuttgart, GermanyATP 250Grass – €718,410 – 28S/16Q/16DSingles–Doubles"
12 Jun,"Rosmalen Grass Court Championships's-Hertogenbosch, NetherlandsATP 250Grass – €673,630 – 28S/16Q/16DSingles–Doubles"
19 Jun,"Halle OpenHalle, GermanyATP 500Grass – €2,195,175 – 32S/16Q/16DSingles–Doubles"
19 Jun,"Queen's Club ChampionshipsLondon, United KingdomATP 500Grass – €2,195,175 – 32S/16Q/16DSingles–Doubles"
