Year,EventId,PlayerCode,Date,EventName,EventType,EventCountry,PlayerRank,PointsGained,PrizeUsd,SglDrawSize,Surface,TotPrizeMoney
2022,352,mv14,,ATP Masters 1000 Paris,1000,France,44,,21570,56,Hard,5415410
2022,328,mv14,,Basel,500,Switzerland,46,,30780,32,Hard,2135350
2022,429,mv14,,Stockholm,250,Sweden,47,,6850,28,Hard,648130
2022,4217,mv14,,G1 SVK vs ROU Round 1,DC,Slovakia,45,,0,4,Clay,0
2022,560,mv14,,US Open,GS,"NY, U.S.A.",40,,80000,128,Hard,27915200
2022,422,mv14,,ATP Masters 1000 Cincinnati,1000,"OH, U.S.A.",39,,25110,56,Hard,6280880
2022,421,mv14,,ATP Masters 1000 Canada,1000,Canada,42,,42760,56,Hard,5926545
2022,439,mv14,,Umag,250,Croatia,38,,9580,28,Clay,534555
2022,414,mv14,,Hamburg,500,Germany,48,,95751,32,Clay,1770865
2022,540,mv14,,Wimbledon,GS,Great Britain,51,,147288,128,Grass,18652000
2022,8994,mv14,,Mallorca,250,Spain,50,,16322,28,Grass,886500
2022,500,mv14,,Halle,500,Germany,45,,17506,32,Grass,2134520
2022,520,mv14,,Roland Garros,GS,France,38,,91624,128,Clay,21256800
2022,7694,mv14,,Lyon,250,France,47,,49408,28,Clay,534555
2022,416,mv14,,ATP Masters 1000 Rome,1000,Italy,47,,6125,56,Clay,5415410
2022,1536,mv14,,ATP Masters 1000 Madrid,1000,Spain,47,,7626,56,Clay,6744165
2022,308,mv14,,Munich,250,Germany,46,,10126,28,Clay,534555
2022,360,mv14,,Marrakech,250,Morocco,65,,50562,32,Clay,534555
2022,7878,mv14,,Marbella,CH,Spain,65,,4075,32,Clay,134920
2022,495,mv14,,Dubai,500,U.A.E.,69,,40875,32,Hard,2794840
2022,451,mv14,,Doha,250,Qatar,73,,22975,28,Hard,1071030
2022,375,mv14,,Montpellier,250,France,72,,5580,28,Hard,427645
2022,580,mv14,,Australian Open,GS,Australia,74,,110942,128,Hard,33784200
2022,9665,mv14,,Melbourne,250,Australia,88,,15490,28,Hard,521000
2022,352,mw02,,ATP Masters 1000 Paris,1000,France,64,,72595,56,Hard,5415410
2022,337,mw02,,Vienna,500,Austria,64,,5194,32,Hard,2349180
2022,2809,mw02,,Naples,250,Italy,65,,10585,28,Hard,612000
2022,2805,mw02,,Florence,250,Italy,69,,10458,28,Hard,612000
2022,2273,mw02,,Orleans,CH,France,64,,2112,32,Hard,134920
2022,1763,mw02,,Genoa,CH,Italy,64,,2180,32,Clay,134920
2022,448,mw02,,Szczecin,CH,Poland,84,,18378,32,Clay,134920
2022,560,mw02,,US Open,GS,"NY, U.S.A.",112,,278000,128,Hard,27915200
2022,439,mw02,,Umag,250,Croatia,116,,9580,28,Clay,534555
2022,314,mw02,,Gstaad,250,Switzerland,112,,2895,28,Clay,534555
2022,9531,mw02,,Salzburg,CH,Austria,127,,6641,32,Clay,134920
2022,6757,mw02,,Blois,CH,France,109,,473,32,Clay,45730
2022,7536,mw02,,Lyon,CH,France,128,,13130,32,Clay,90280
2022,520,mw02,,Roland Garros,GS,France,138,,91624,128,Clay,21256800
2022,7009,mw02,,Aix-en-Provence,CH,France,130,,1539,32,Clay,90280
2022,1797,mw02,,Ostrava,CH,Czech Republic,120,,486,32,Clay,45730
