,playercode,EventId,TotPrizeMoney,Same_Nationality,iscritto,ha_pts_def,EventType_500,Surface_Grass,Surface_Hard
0,v812,341,596035,0,0,0,0,0,1
1,v812,5100,766715,0,1,0,0,0,1
2,v812,328,2523045,0,1,0,1,0,1
3,v812,337,2736875,0,0,0,1,0,1
4,v812,7581,1190210,0,1,0,0,0,1
5,v812,4713,1019185,0,0,0,0,0,1
6,v812,7581,1190210,0,1,0,0,0,1
7,v812,4713,1019185,0,0,0,0,0,1
8,v812,7581,1190210,0,1,0,0,0,1
9,v812,4713,1019185,0,0,0,0,0,1
10,v812,319,596035,0,1,1,0,0,0
11,v812,418,2396115,0,0,1,1,0,1
12,v812,439,596035,0,0,1,0,0,0
13,v812,314,596035,0,0,1,0,0,0
14,v812,7480,889890,0,0,1,0,0,1
15,v812,316,596035,0,1,1,0,0,0
16,v812,311,2522220,0,0,0,1,1,0
17,v812,500,2522220,0,0,0,1,1,0
18,v812,414,2158560,0,0,1,1,0,0
19,v812,322,596035,0,0,1,0,0,0
20,v812,308,2500000,0,1,0,1,0,0
21,v812,425,2889200,0,0,0,1,0,0
22,v812,495,3237670,0,1,0,1,0,1
23,v812,807,2585410,0,0,0,1,0,1
24,v812,8996,680140,0,0,0,0,0,0
25,v812,451,2760000,0,1,0,1,0,1
26,v812,6932,2396115,0,0,0,1,0,0
27,v812,407,2401550,0,1,0,1,0,1
28,v812,424,2760000,0,0,0,1,0,1
29,v812,8998,680140,0,0,1,0,0,1
30,v812,301,680140,0,1,1,0,0,1
31,h997,328,2523045,0,0,0,1,0,1
32,h997,337,2736875,0,0,0,1,0,1
33,h997,747,4016050,0,0,1,1,0,1
34,h997,329,2226470,0,0,1,1,0,1
35,h997,7581,1190210,0,1,0,0,0,1
36,h997,4713,1019185,0,0,0,0,0,1
37,h997,7581,1190210,0,1,0,0,0,1
38,h997,4713,1019185,0,0,0,0,0,1
39,h997,319,596035,0,1,1,0,0,0
40,h997,418,2396115,0,0,1,1,0,1
41,h997,439,596035,0,0,1,0,0,0
42,h997,8994,596035,0,0,1,0,1,0
43,h997,741,756875,0,0,1,0,1,0
44,h997,311,2522220,0,0,1,1,1,0
45,h997,500,2522220,0,1,1,1,1,0
46,h997,440,706850,0,0,0,0,1,0
47,h997,321,751630,0,1,0,0,1,0
48,h997,414,2158560,0,0,1,1,0,0
49,h997,322,596035,0,0,1,0,0,0
50,h997,308,2500000,0,1,1,1,0,0
51,h997,425,2889200,0,0,1,1,0,0
52,h997,495,3237670,0,0,1,1,0,1
53,h997,807,2585410,0,0,1,1,0,1
54,h997,8996,680140,0,1,1,0,0,0
55,h997,451,2760000,0,0,0,1,0,1
56,h997,6932,2396115,0,1,0,1,0,0
57,h997,496,740730,0,0,1,0,0,1
58,h997,499,680140,0,0,1,0,0,1
59,h997,506,658390,0,0,1,0,0,0
60,h997,8998,680140,0,1,1,0,0,1
61,h997,301,680140,0,0,1,0,0,1
62,l987,341,596035,0,0,0,0,0,1
63,l987,5100,766715,0,0,0,0,0,1
64,l987,7581,1190210,0,0,0,0,0,1
65,l987,4713,1019185,0,0,0,0,0,1
66,l987,6242,798335,0,0,0,0,0,1
67,l987,319,596035,0,0,1,0,0,0
68,l987,418,2396115,0,0,1,1,0,1
69,l987,439,596035,0,1,1,0,0,0
70,l987,308,2500000,0,0,0,1,0,0
71,l987,425,2889200,0,0,0,1,0,0
72,l987,495,3237670,0,0,1,1,0,1
73,l987,807,2585410,0,1,1,1,0,1
74,l987,8996,680140,0,0,1,0,0,0
75,l987,451,2760000,0,0,1,1,0,1
76,l987,6932,2396115,0,1,1,1,0,0
77,l987,407,2401550,0,0,0,1,0,1
78,l987,424,2760000,0,0,0,1,0,1
79,ki95,341,596035,0,0,1,0,0,1
80,ki95,5100,766715,0,1,1,0,0,1
81,ki95,328,2523045,0,1,1,1,0,1
82,ki95,337,2736875,0,0,1,1,0,1
83,ki95,7581,1190210,0,0,0,0,0,1
84,ki95,4713,1019185,0,0,0,0,0,1
85,ki95,6242,798335,0,1,1,0,0,1
86,ki95,8994,596035,0,0,0,0,1,0
87,ki95,741,756875,0,1,0,0,1,0
88,ki95,311,2522220,0,0,0,1,1,0
89,ki95,500,2522220,0,1,0,1,1,0
90,ki95,308,2500000,0,1,1,1,0,0
91,ki95,425,2889200,0,0,1,1,0,0
92,ki95,495,3237670,0,0,0,1,0,1
93,ki95,807,2585410,0,1,0,1,0,1
94,ki95,8996,680140,0,0,0,0,0,0
95,ki95,451,2760000,0,0,0,1,0,1
96,ki95,6932,2396115,0,0,0,1,0,0
97,ki95,407,2401550,0,0,0,1,0,1
98,ki95,424,2760000,0,1,0,1,0,1
99,ki95,8998,680140,0,1,1,0,0,1
100,ki95,301,680140,0,0,1,0,0,1
101,ae14,328,2523045,0,0,1,1,0,1
102,ae14,337,2736875,0,1,1,1,0,1
103,ae14,7581,1190210,0,0,1,0,0,1
104,ae14,4713,1019185,0,0,1,0,0,1
105,ae14,6242,798335,0,0,0,0,0,1
106,ae14,319,596035,0,0,0,0,0,0
107,ae14,418,2396115,0,1,0,1,0,1
108,ae14,439,596035,0,0,0,0,0,0
109,ae14,314,596035,0,0,0,0,0,0
110,ae14,7480,889890,0,1,0,0,0,1
111,ae14,316,596035,0,0,0,0,0,0
112,ae14,8994,596035,0,1,1,0,1,0
113,ae14,741,756875,0,0,1,0,1,0
114,ae14,311,2522220,0,0,1,1,1,0
115,ae14,500,2522220,0,1,1,1,1,0
116,ae14,440,706850,0,0,1,0,1,0
117,ae14,321,751630,0,0,1,0,1,0
118,ae14,308,2500000,0,1,1,1,0,0
119,ae14,425,2889200,0,0,1,1,0,0
120,ae14,451,2760000,0,0,0,1,0,1
121,ae14,6932,2396115,0,0,0,1,0,0
122,ae14,496,740730,0,1,0,0,0,1
123,ae14,499,680140,0,0,0,0,0,1
124,ae14,506,658390,0,0,0,0,0,0
125,ae14,8998,680140,0,0,1,0,0,1
126,ae14,301,680140,0,1,1,0,0,1
127,bd06,328,2523045,0,0,1,1,0,1
128,bd06,337,2736875,0,0,1,1,0,1
129,bd06,7581,1190210,0,0,0,0,0,1
130,bd06,4713,1019185,0,0,0,0,0,1
131,bd06,7581,1190210,0,0,0,0,0,1
132,bd06,4713,1019185,0,0,0,0,0,1
133,bd06,6242,798335,0,1,0,0,0,1
134,bd06,8994,596035,1,1,1,0,1,0
135,bd06,741,756875,0,0,1,0,1,0
136,bd06,311,2522220,0,1,1,1,1,0
137,bd06,500,2522220,0,0,1,1,1,0
138,bd06,414,2158560,0,1,1,1,0,0
139,bd06,322,596035,0,0,1,0,0,0
140,bd06,308,2500000,0,1,1,1,0,0
