Year,EventId,PlayerCode,Date,EventName,EventType,EventCountry,PlayerRank,PointsGained,PrizeUsd,SglDrawSize,Surface,TotPrizeMoney
2024,901,v812,2024-11-18,Davis Cup Finals,DC,Spain,80,0,0,128,Hard,0
2024,352,v812,2024-10-28,ATP Masters 1000 Paris,1000,France,67,0,6887,56,Hard,5950575
2024,328,v812,2024-10-21,Basel,500,Switzerland,67,75,37901,32,Hard,2385100
2024,7485,v812,2024-10-14,Antwerp,250,Belgium,68,0,8092,28,Hard,690135
2024,5014,v812,2024-09-30,ATP Masters 1000 Shanghai,1000,China,67,30,34550,96,Hard,8995555
2024,329,v812,2024-09-23,Tokyo,500,Japan,67,25,14185,32,Hard,1818380
2024,4830,v812,2024-09-09,ITA vs NED Group A RR,DC,Italy,68,0,0,2,Hard,0
2024,4831,v812,2024-09-09,NED vs BRA Group A RR,DC,Italy,68,0,0,2,Hard,0
2024,4832,v812,2024-09-09,NED vs BEL Group A RR,DC,Italy,68,0,0,2,Hard,0
2024,560,v812,2024-08-26,US Open,GS,"NY, U.S.A.",74,100,215000,128,Hard,33977000
2024,6242,v812,2024-08-19,Winston-Salem,250,"NC, U.S.A.",73,0,4160,48,Hard,779780
2024,9542,v812,2024-07-29,Luedenscheid,CH,Germany,84,50,10535,32,Clay,120950
2024,2785,v812,2024-07-22,Zug,CH,Switzerland,85,0,1594,32,Clay,148625
2024,314,v812,2024-07-15,Gstaad,250,Switzerland,87,25,11013,28,Clay,579320
2024,526,v812,2024-07-08,Braunschweig,CH,Germany,97,64,12952,32,Clay,148625
2024,540,v812,2024-07-01,Wimbledon,GS,Great Britain,97,50,117599,128,Grass,20747000
2024,440,v812,2024-06-10,'s-Hertogenbosch,250,Netherlands,99,0,7990,28,Grass,690135
2024,520,v812,2024-05-27,Roland Garros,GS,France,102,10,79344,128,Clay,24961000
2024,3824,v812,2024-05-13,Bordeaux,CH,France,112,13,3920,28,Clay,205000
2024,416,v812,2024-05-06,ATP Masters 1000 Rome,1000,Italy,112,50,32560,96,Clay,7877020
2024,7009,v812,2024-04-29,Aix-en-Provence,CH,France,115,0,2331,28,Clay,205000
2024,1536,v812,2024-04-22,ATP Masters 1000 Madrid,1000,Spain,115,30,32240,96,Clay,7877020
2024,308,v812,2024-04-15,Munich,250,Germany,89,25,10817,28,Clay,579320
2024,410,v812,2024-04-08,ATP Masters 1000 Monte-Carlo,1000,Monaco,86,0,6913,56,Clay,5950575
2024,7290,v812,2024-04-01,Estoril,250,Portugal,87,25,10969,28,Clay,579320
2024,403,v812,2024-03-18,ATP Masters 1000 Miami,1000,"FL, U.S.A.",77,30,34500,96,Hard,8995555
2024,404,v812,2024-03-04,ATP Masters 1000 Indian Wells,1000,"CA, U.S.A.",82,10,30050,96,Hard,9495555
2024,495,v812,2024-02-26,Dubai,500,U.A.E.,75,50,43025,32,Hard,2941785
2024,451,v812,2024-02-19,Doha,250,Qatar,70,0,14970,28,Hard,1395875
2024,407,v812,2024-02-12,Rotterdam,500,Netherlands,66,0,17961,32,Hard,2134985
2024,4493,v812,2024-01-29,NED vs SUI Qualifier,DC,Netherlands,63,0,0,4,Hard,0
