PlayerCode,EventId,PointsGained,iscritto,year,date_tournament,EventName,EventType,EventCountry,Surface,TotPrizeMoney,Same_Nationality
s0re,747,0,1,2025,2025-09-22,Beijing,500,China,Hard,4016050,1
s0re,7581,25,1,2025,2025-09-15,Chengdu,250,China,Hard,1190210,1
s0re,336,100,1,2025,2024-12-30,Hong Kong,250,Hong Kong,Hard,680140,0
s0re,6242,0,0,2025,2025-08-18,Winston-Salem,250,"NC, U.S.A.",Hard,798335,0
s0re,319,0,0,2025,2025-07-21,Kitzbuhel,250,Austria,Clay,596035,0
s0re,8994,0,0,2025,2025-06-23,Mallorca,250,Spain,Grass,596035,0
s0re,311,0,0,2025,2025-06-16,London / Queen's Club,500,Great Britain,Grass,2522220,0
s0re,440,0,0,2025,2025-06-09,'s-Hertogenbosch,250,Netherlands,Grass,706850,0
s0re,414,0,0,2025,2025-05-19,Hamburg,500,Germany,Clay,2158560,0
s0re,308,0,0,2025,2025-04-14,Munich,500,Germany,Clay,2500000,0
s0re,4462,0,0,2025,2025-03-31,Bucharest,250,Romania,Clay,596035,0
s0re,495,0,0,2025,2025-02-24,Dubai,500,U.A.E.,Hard,3237670,0
s0re,451,0,0,2025,2025-02-17,Doha,500,Qatar,Hard,2760000,0
s0re,407,0,0,2025,2025-02-03,Rotterdam,500,Netherlands,Hard,2401550,0
s0re,8998,0,0,2025,2025-01-06,Adelaide,250,Australia,Hard,680140,0
s0re,418,0,0,2025,2025-07-21,Washington,500,"DC, U.S.A.",Hard,2396115,0
s0re,321,0,0,2025,2025-06-09,Stuttgart,250,Germany,Grass,751630,0
s0re,301,0,0,2025,2025-01-06,Auckland,250,New Zealand,Hard,680140,0
s0re,339,0,0,2025,2024-12-30,Brisbane,250,Australia,Hard,680140,0
s0re,328,0,0,2025,2025-10-20,Basel,500,Switzerland,Hard,2523045,0
s0re,7485,0,0,2025,2025-10-13,Brussels,250,Belgium,Hard,706850,0
s0re,4713,0,0,2025,2025-09-15,Hangzhou,250,China,Hard,1019185,1
s0re,314,0,0,2025,2025-07-14,Gstaad,250,Switzerland,Clay,596035,0
s0re,807,0,0,2025,2025-02-24,Acapulco,500,Mexico,Hard,2585410,0
s0re,375,0,0,2025,2025-01-27,Montpellier,250,France,Hard,596035,0
s0re,341,0,0,2025,2025-11-03,Metz,250,France,Hard,596035,0
s0re,429,0,0,2025,2025-10-13,Stockholm,250,Sweden,Hard,706850,0
s0re,741,0,0,2025,2025-06-23,Eastbourne,250,Great Britain,Grass,756875,0
s0re,500,0,0,2025,2025-06-16,Halle,500,Germany,Grass,2522220,0
s0re,360,0,0,2025,2025-03-31,Marrakech,250,Morocco,Clay,596035,0
s0re,496,0,0,2025,2025-02-10,Marseille,250,France,Hard,740730,0
s0re,5100,0,0,2025,2025-11-03,Athens,250,Greece,Hard,766715,0
s0re,322,0,0,2025,2025-05-19,Geneva,250,Switzerland,Clay,596035,0
s0re,499,0,0,2025,2025-02-10,Delray Beach,250,"FL, U.S.A.",Hard,680140,0
s0re,424,0,0,2025,2025-02-03,Dallas,500,"TX, U.S.A.",Hard,2760000,0
s0re,6932,0,0,2025,2025-02-17,Rio de Janeiro,500,Brazil,Clay,2396115,0
s0re,506,0,0,2025,2025-02-10,Buenos Aires,250,Argentina,Clay,658390,0
s0re,9410,0,0,2025,2025-10-13,Almaty,250,Kazakhstan,Hard,1055255,0
s0re,329,0,0,2025,2025-09-22,Tokyo,500,Japan,Hard,2226470,0
s0re,7480,0,0,2025,2025-07-14,Los Cabos,250,Mexico,Hard,889890,0
s0re,439,0,0,2025,2025-07-21,Umag,250,Croatia,Clay,596035,0
s0re,425,0,0,2025,2025-04-14,Barcelona,500,Spain,Clay,2889200,0
s0re,337,0,0,2025,2025-10-20,Vienna,500,Austria,Hard,2736875,0
s0re,8996,0,0,2025,2025-02-24,Santiago,250,Chile,Clay,680140,0
s0re,717,0,0,2025,2025-03-31,Houston,250,"TX, U.S.A.",Clay,680140,0
s0re,316,0,0,2025,2025-07-14,Bastad,250,Sweden,Clay,596035,0
bd06,747,0,0,2025,2025-09-22,Beijing,500,China,Hard,4016050,0
bd06,7581,0,0,2025,2025-09-15,Chengdu,250,China,Hard,1190210,0
bd06,336,0,0,2025,2024-12-30,Hong Kong,250,Hong Kong,Hard,680140,0
bd06,6242,25,1,2025,2025-08-18,Winston-Salem,250,"NC, U.S.A.",Hard,798335,0
bd06,319,0,1,2025,2025-07-21,Kitzbuhel,250,Austria,Clay,596035,0
bd06,8994,50,1,2025,2025-06-23,Mallorca,250,Spain,Grass,596035,1
bd06,311,200,1,2025,2025-06-16,London / Queen's Club,500,Great Britain,Grass,2522220,0
bd06,440,0,1,2025,2025-06-09,'s-Hertogenbosch,250,Netherlands,Grass,706850,0
bd06,414,100,1,2025,2025-05-19,Hamburg,500,Germany,Clay,2158560,0
bd06,308,0,1,2025,2025-04-14,Munich,500,Germany,Clay,2500000,0
bd06,4462,25,1,2025,2025-03-31,Bucharest,250,Romania,Clay,596035,0
bd06,495,50,1,2025,2025-02-24,Dubai,500,U.A.E.,Hard,3237670,0
bd06,451,0,1,2025,2025-02-17,Doha,500,Qatar,Hard,2760000,0
bd06,407,0,1,2025,2025-02-03,Rotterdam,500,Netherlands,Hard,2401550,0
bd06,8998,0,1,2025,2025-01-06,Adelaide,250,Australia,Hard,680140,0
