"playercode","EventId","iscritto","Year","date_tournament","EventName","EventType","EventCountry","Surface","TotPrizeMoney","Same_Nationality","Rank","ha_pts_def"
mv14,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,54,1
mv14,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,52,0
mv14,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,54,1
mv14,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,52,0
mv14,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,52,0
mw02,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,65,1
mw02,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,51,0
mw02,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,65,1
mw02,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,1,64,0
mw02,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,51,0
mw02,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,64,0
mw02,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,65,1
mw02,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,64,0
mc65,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,83,1
mc65,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,1,207,0
mc65,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,83,1
mc65,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,207,0
mc65,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,207,0
gb88,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,41,0
gb88,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,53,0
gb88,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,41,0
gb88,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,40,1
gb88,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,53,0
gb88,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,40,1
gb88,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,41,0
gb88,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,40,1
kb05,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,69,0
kb05,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,56,1
kb05,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,69,0
kb05,375,1,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,71,1
kb05,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,56,1
kb05,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,71,1
kb05,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,69,0
kb05,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,71,1
f510,506,1,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,66,1
f510,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,57,0
f510,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,66,1
f510,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,57,0
f510,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,66,1
hh06,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,47,0
hh06,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,55,1
hh06,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,47,0
hh06,375,1,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,49,0
hh06,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,55,1
hh06,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,49,0
hh06,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,47,0
hh06,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,49,0
cg04,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,59,1
cg04,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,59,1
mu94,506,1,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,67,1
mu94,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,62,1
mu94,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,67,1
mu94,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,65,1
mu94,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,62,1
mu94,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,65,1
mu94,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,67,1
mu94,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,65,1
kc56,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,98,0
kc56,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,98,0
kc56,375,1,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,95,0
kc56,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,95,0
kc56,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,98,0
kc56,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,95,0
bm95,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,48,1
bm95,301,0,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,50,0
bm95,407,1,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,48,1
bm95,375,1,2023,"2023-02-06",Montpellier,250,France,Hard,562815,1,42,0
bm95,8998,1,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,50,0
bm95,9158,0,2023,"2023-02-06",Cordoba,250,Argentina,Clay,642735,0,42,0
bm95,499,0,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,0,48,1
bm95,424,0,2023,"2023-02-06",Dallas,250,"TX, U.S.A.",Hard,737170,0,42,0
gc88,506,0,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,55,1
gc88,301,1,2023,"2023-01-09",Auckland,250,New Zealand,Hard,642735,0,60,0
gc88,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,55,1
gc88,8998,0,2023,"2023-01-09",Adelaide 2,250,Australia,Hard,642735,0,60,0
gc88,499,1,2023,"2023-02-13",Delray Beach,250,"FL, U.S.A.",Hard,642735,1,55,1
mo44,506,1,2023,"2023-02-13",Buenos Aires,250,Argentina,Clay,626595,0,73,1
mo44,407,0,2023,"2023-02-13",Rotterdam,500,Netherlands,Hard,2074505,0,73,1
mo44,375,0,2023,"2023-02-06",Montpellier,250,France,Hard,562815,0,72,1
