"playercode","EventId","iscritto","Year","date_tournament","EventName","EventType","EventCountry","Surface","TotPrizeMoney","Same_Nationality","IFNULL(`Rank`, 601)","ha_pts_def"
s0re,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,50,1
s0re,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,50,1
bd06,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,51,1
bd06,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,51,1
mc65,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,52,0
mc65,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,52,0
gb88,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,53,1
gb88,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,53,1
su87,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,54,0
su87,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,54,0
ki95,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,55,1
ki95,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,55,1
mp20,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,56,0
mp20,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,56,0
m0ci,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,57,0
m0ci,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,57,0
su55,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,58,0
su55,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,58,0
cf59,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,59,0
cf59,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,59,0
rc91,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,60,0
rc91,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,60,0
mu94,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,61,0
mu94,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,61,0
sx50,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,62,1
sx50,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,62,1
n732,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,63,0
n732,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,63,0
o483,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,1,64,0
o483,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,64,0
y09v,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,65,0
y09v,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,65,0
bu13,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,66,0
bu13,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,66,0
v832,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,1,67,0
v832,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,67,0
dh50,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,68,1
dh50,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,68,1
mw02,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,69,0
mw02,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,69,0
bm95,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,70,0
bm95,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,70,0
hb64,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,71,0
hb64,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,71,0
s0h2,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,72,1
s0h2,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,72,1
me82,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,73,1
me82,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,73,1
n552,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,74,0
n552,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,74,0
l987,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,75,0
l987,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,75,0
sx91,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,76,0
sx91,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,76,0
kd46,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,1,77,0
kd46,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,77,0
d0cg,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,78,0
d0cg,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,78,0
h0bh,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,1,79,1
h0bh,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,79,1
c0h0,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,80,1
c0h0,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,80,1
g09o,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,81,1
g09o,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,81,1
v812,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,82,1
v812,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,82,1
d923,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,83,1
d923,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,83,1
da81,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,84,1
da81,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,84,1
c0df,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,85,0
c0df,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,85,0
f0by,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,86,1
f0by,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,86,1
d0f6,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,87,1
d0f6,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,87,1
cg80,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,88,1
cg80,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,88,1
f510,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,89,0
f510,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,89,0
n0bg,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,90,0
n0bg,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,90,0
w09e,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,1,91,0
w09e,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,91,0
v0am,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,92,1
v0am,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,92,1
ae14,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,93,1
ae14,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,93,1
d994,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,1,94,1
d994,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,94,1
u182,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,95,0
u182,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,95,0
n897,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,96,0
n897,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,96,0
ce77,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,97,0
ce77,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,97,0
h997,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,98,1
h997,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,98,1
k09f,8998,1,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,99,1
k09f,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,99,1
f724,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,100,0
f724,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,100,0
b0gg,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,101,0
b0gg,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,101,0
e865,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,103,0
e865,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,103,0
pf39,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,104,1
pf39,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,104,1
p0ct,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,105,1
p0ct,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,105,1
mj08,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,106,0
mj08,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,106,0
mw18,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,107,1
mw18,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,107,1
k0az,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,108,1
k0az,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,108,1
k926,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,109,0
k926,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,109,0
o513,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,110,1
o513,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,110,1
d0c1,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,111,1
d0c1,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,111,1
m0jf,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,112,0
m0jf,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,112,0
f0fv,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,113,0
f0fv,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,113,0
db63,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,114,0
db63,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,114,0
t0a1,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,115,0
t0a1,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,115,0
m0g4,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,116,1
m0g4,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,116,1
mq75,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,117,1
mq75,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,117,1
t0ap,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,118,1
t0ap,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,118,1
c0jp,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,119,1
c0jp,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,119,1
t0ha,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,120,0
t0ha,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,120,0
rc04,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,121,1
rc04,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,121,1
da31,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,122,0
da31,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,122,0
ke73,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,123,1
ke73,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,123,1
f0f2,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,124,1
f0f2,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,124,1
ki82,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,125,0
ki82,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,125,0
hd68,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,126,0
hd68,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,126,0
ge33,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,127,1
ge33,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,127,1
kc04,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,128,0
kc04,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,128,0
v0dz,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,129,0
v0dz,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,129,0
mk66,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,130,0
mk66,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,130,0
rh24,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,131,1
rh24,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,131,1
g628,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,132,1
g628,301,0,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,132,1
b0nn,8998,0,2025,"2025-01-06",Adelaide,"250",Australia,Hard,680140,0,133,0
b0nn,301,1,2025,"2025-01-06",Auckland,"250",New Zealand,Hard,680140,0,133,0
