"eventid","eventname","eventcountry","surface","totprizemoney"
319,Kitzbuhel,Austria,Clay,562815
414,Hamburg,Germany,Clay,1831515
316,Bastad,Sweden,Clay,562815
2841,Banja Luka,Bosnia & Herzegovina,Clay,562815
807,Acapulco,Mexico,Hard,2013940
6932,Rio de Janeiro,Brazil,Clay,2013940
506,Buenos Aires,Argentina,Clay,626595
301,Auckland,New Zealand,Hard,642735
891,Pune,India,Hard,642735
9410,Astana,Kazakhstan,Hard,1017850
7581,Chengdu,China,Hard,1152805
418,Washington,"DC, U.S.A.",Hard,2013940
6116,Atlanta,"GA, U.S.A.",Hard,737170
315,Newport,"RI, U.S.A.",Grass,642735
8994,Mallorca,Spain,Grass,915630
500,Halle,Germany,Grass,2195175
321,Stuttgart,Germany,Grass,718410
7694,Lyon,France,Clay,562815
337,Vienna,Austria,Hard,2409835
429,Stockholm,Sweden,Hard,673630
7485,Antwerp,Belgium,Hard,673630
440,'s-Hertogenbosch,Netherlands,Grass,673630
425,Barcelona,Spain,Clay,2722480
496,Marseille,France,Hard,707510
407,Rotterdam,Netherlands,Hard,2074505
322,Geneva,Switzerland,Clay,562815
495,Dubai,U.A.E.,Hard,2855495
375,Montpellier,France,Hard,562815
341,Metz,France,Hard,562815
328,Basel,Switzerland,Hard,2196000
314,Gstaad,Switzerland,Clay,562815
7290,Estoril,Portugal,Clay,562815
8996,Santiago,Chile,Clay,642735
7434,Sofia,Bulgaria,Hard,562815
6242,Winston-Salem,"NC, U.S.A.",Hard,760930
439,Umag,Croatia,Clay,562815
741,Eastbourne,Great Britain,Grass,723655
308,Munich,Germany,Clay,562815
8998,Adelaide 2,Australia,Hard,642735
9158,Cordoba,Argentina,Clay,642735
2843,Adelaide 1,Australia,Hard,642735
360,Marrakech,Morocco,Clay,562815
329,Tokyo,Japan,Hard,1857660
9164,Zhuhai,China,Hard,981785
451,Doha,Qatar,Hard,1377025
717,Houston,"TX, U.S.A.",Clay,642735
499,Delray Beach,"FL, U.S.A.",Hard,642735
424,Dallas,"TX, U.S.A.",Hard,737170
747,Beijing,China,Hard,3633875
311,London / Queen's Club,Great Britain,Grass,2195175
7480,Los Cabos,Mexico,Hard,852480
