Date,Location
1 Jan,"Hong Kong OpenHong KongSARATP 250Hard – $739,945 – 28S/16Q/16DSingles–Doubles"
1 Jan,"Brisbane InternationalBrisbane, AustraliaATP 250Hard – $739,945 – 32S/24Q/24DSingles–Doubles"
8 Jan,"Adelaide InternationalAdelaide, AustraliaATP 250Hard – $739,945 – 28S/16Q/24DSingles–Doubles"
8 Jan,"Auckland OpenAuckland, New ZealandATP 250Hard – $739,945 – 28S/16Q/16DSingles–Doubles"
29 Jan,"Open Sud de FranceMontpellier, FranceATP 250Hard (i) – €579,320 – 28S/16Q/16DSingles–Doubles"
5 Feb,"Dallas OpenDallas, United StatesATP 250Hard (i) – $841,590 – 28S/16Q/16DSingles–Doubles"
5 Feb,"Open 13Marseille, FranceATP 250Hard (i) – €801,335 – 28S/16Q/16DSingles–Doubles"
5 Feb,"Córdoba OpenCórdoba, ArgentinaATP 250Clay – $640,705 – 28S/16Q/16DSingles–Doubles"
12 Feb,"Rotterdam OpenRotterdam, NetherlandsATP 500Hard (i) – €2,290,720 – 32S/16Q/16DSingles–Doubles"
12 Feb,"Delray Beach OpenDelray Beach, United StatesATP 250Hard – $742,350 – 28S/16Q/16DSingles–Doubles"
12 Feb,"Argentina OpenBuenos Aires, ArgentinaATP 250Clay – $728,185 – 28S/16Q/16DSingles–Doubles"
19 Feb,"Rio OpenRio de Janeiro, BrazilATP 500Clay – $2,271,715 – 32S/16Q/16DSingles–Doubles"
19 Feb,"Qatar OpenDoha, QatarATP 250Hard – $1,493,465 – 28S/16Q/16DSingles–Doubles"
19 Feb,"Los Cabos OpenLos Cabos, MexicoATP 250Hard – $1,005,620 – 28S/16Q/16DSingles–Doubles"
26 Feb,"Dubai Tennis ChampionshipsDubai, United Arab EmiratesATP 500Hard – $3,113,270 – 32S/16Q/16DSingles–Doubles"
26 Feb,"Mexican OpenAcapulco, MexicoATP 500Hard – $2,377,565 – 32S/16Q/16DSingles–Doubles"
26 Feb,"Chile OpenSantiago, ChileATP 250Clay – $742,350 – 28S/16Q/16DSingles–Doubles"
1 Apr,"U.S. Men's Clay Court ChampionshipsHouston, United StatesATP 250Clay – $742,350 – 28S/16Q/16DSingles–Doubles"
1 Apr,"Estoril OpenCascais, PortugalATP 250Clay – €651,865 – 28S/16Q/16DSingles–Doubles"
1 Apr,"Grand Prix Hassan IIMarrakesh, MoroccoATP 250Clay – €651,865 – 28S/16Q/16DSingles–Doubles"
15 Apr,"Barcelona OpenBarcelona, SpainATP 500Clay – €2,938,695 – 48S/24Q/16DSingles–Doubles"
15 Apr,"Romanian OpenBucharest, RomaniaATP 250Clay – €651,865 – 28S/16Q/16DSingles–Doubles"
15 Apr,"Bavarian International TennisChampionshipsMunich, GermanyATP 250Clay – €651,865 – 28S/16Q/16DSingles–Doubles"
20 May,"Geneva OpenGeneva, SwitzerlandATP 250Clay – €651,865 – 28S/16Q/16DSingles–Doubles"
20 May,"Lyon OpenLyon, FranceATP 250Clay – €651,865 – 28S/16Q/16DSingles–Doubles"
10 Jun,"Stuttgart OpenStuttgart, GermanyATP 250Grass – €812,235 – 28S/16Q/16DSingles–Doubles"
10 Jun,"Rosmalen Grass Court Championships's-Hertogenbosch, NetherlandsATP 250Grass – €767,455 – 28S/16Q/16DSingles–Doubles"
17 Jun,"Halle OpenHalle, GermanyATP 500Grass – €2,411,390 – 32S/16Q/16DSingles–Doubles"
17 Jun,"Queen's Club ChampionshipsLondon, United KingdomATP 500Grass – €2,411,390 – 32S/16Q/16DSingles–Doubles"
24 Jun,"Mallorca ChampionshipsSanta Ponsa, SpainATP 250Grass – €1,005,340 – 28S/16Q/16DSingles–Doubles"
24 Jun,"Eastbourne InternationalEastbourne, United KingdomATP 250Grass – €812,235 – 28S/16Q/16DSingles–Doubles"
15 Jul,"Hamburg OpenHamburg, GermanyATP 500Clay – €2,047,730 – 32S/16Q/16DSingles–Doubles"
15 Jul,"Hall of Fame OpenNewport, United StatesATP 250Grass – $742,350 – 28S/16Q/16DSingles–Doubles"
15 Jul,"Swedish OpenBåstad, SwedenATP 250Clay – €651,865 – 28S/16Q/16DSingles–Doubles"
15 Jul,"Swiss OpenGstaad, SwitzerlandATP 250Clay – €651,865 – 28S/16Q/16DSingles–Doubles"
22 Jul,"Austrian OpenKitzbühel, AustriaATP 250Clay – €651,865 – 28S/16Q/16DSingles–Doubles"
22 Jul,"Croatia OpenUmag, CroatiaATP 250Clay – €651,865 – 28S/16Q/16DSingles–Doubles"
22 Jul,"Atlanta OpenAtlanta, United StatesATP 250Hard – $841,590 – 28S/16Q/16DSingles–Doubles"
29 Jul,"Washington OpenWashington, D.C., United StatesATP 500Hard – $2,271,715 – 48S/24Q/16DSingles–Doubles"
19 Aug,"Winston-Salem OpenWinston-Salem, United StatesATP 250Hard – $867,750 – 48S/16Q/16DSingles–Doubles"
16 Sep,"Chengdu OpenChengdu, ChinaATP 250Hard – $1,269,245 – 28S/16Q/16DSingles–Doubles"
16 Sep,"Hangzhou OpenHangzhou, ChinaATP 250Hard – $1,081,395 – 28S/16Q/16DSingles–Doubles"
23 Sep,"China OpenBeijing, ChinaATP 500Hard – $3,891,650 – 32S/16Q/16DSingles–Doubles"
23 Sep,"Japan OpenTokyo, JapanATP 500Hard – $1,989,865 – 32S/16Q/16DSingles–Doubles"
14 Oct,"Almaty OpenAlmaty, KazakhstanATP 250Hard (i) – $1,117,465 – 28S/16Q/16DSingles–Doubles"
14 Oct,"European OpenAntwerp, BelgiumATP 250Hard (i) – €767,455 – 28S/16Q/16DSingles–Doubles"
14 Oct,"Stockholm OpenStockholm, SwedenATP 250Hard (i) – €767,455 – 28S/16Q/16DSingles–Doubles"
21 Oct,"Swiss IndoorsBasel, SwitzerlandATP 500Hard (i) – €2,414,215 – 32S/16Q/16DSingles–Doubles"
21 Oct,"Vienna OpenVienna, AustriaATP 500Hard (i) – €2,626,045 – 32S/16Q/16DSingles–Doubles"
4 Nov,"Belgrade OpenBelgrade, SerbiaATP 250Hard (i) – €651,865 – 28S/16Q/16DSingles–Doubles"
