Date,Tournament,Country,Category,Surface,PrizeMoney
2023-01-02,Adelaide International 1Adelaide,Australia,ATP 250,Hard,"642,735"
2023-01-02,Maharashtra OpenPune,India,ATP 250,Hard,"713,495"
2023-01-09,Adelaide International 2Adelaide,Australia,ATP 250,Hard,"642,735"
2023-01-09,Auckland OpenAuckland,New Zealand,ATP 250,Hard,"713,495"
2023-02-06,Córdoba OpenCórdoba,Argentina,ATP 250,Clay,"713,495"
2023-02-06,Open Sud de FranceMontpellier,France,ATP 250,Hard,"630,705"
2023-02-06,Dallas OpenDallas,United States,ATP 250,Hard,"822,175"
2023-02-13,Delray Beach OpenDelray Beach,United States,ATP 250,Hard,"718,245"
2023-02-13,Argentina OpenBuenos Aires,Argentina,ATP 250,Clay,"711,600"
2023-02-13,Rotterdam OpenRotterdam,Netherlands,ATP 500,Hard,"2,224,460"
2023-02-20,Rio OpenRio de Janeiro,Brazil,ATP 500,Clay,"2,013,940"
2023-02-20,Open 13Marseille,France,ATP 250,Hard,"707,510"
2023-02-20,Qatar OpenDoha,Qatar,ATP 250,Hard,"1,377,025"
2023-02-27,Mexican OpenAcapulco,Mexico,ATP 500,Hard,"2,013,940"
2023-02-27,Dubai Tennis ChampionshipsDubai,United Arab Emirates,ATP 500,Hard,"2,855,495"
2023-02-27,Chile OpenSantiago,Chile,ATP 250,Clay,"642,735"
2023-04-03,Grand Prix Hassan IIMarrakesh,Morocco,ATP 250,Clay,"562,815"
2023-04-03,Estoril OpenCascais,Portugal,ATP 250,Clay,"562,815"
2023-04-03,U.S. Men's Clay Court ChampionshipsHouston,United States,ATP 250,Clay,"642,735"
2023-04-17,Barcelona OpenBarcelona,Spain,ATP 500,Clay,"2,722,480"
2023-04-17,Bavarian International TennisChampionshipsMunich,Germany,ATP 250,Clay,"562,815"
2023-04-17,Srpska OpenBanja Luka,Bosnia and Herzegovina,ATP 250,Clay,"562,815"
2023-05-22,Geneva OpenGeneva,Switzerland,ATP 250,Clay,"562,815"
2023-05-22,Lyon OpenLyon,France,ATP 250,Clay,"562,815"
2023-06-12,Stuttgart OpenStuttgart,Germany,ATP 250,Grass,"718,410"
2023-06-12,Rosmalen Grass Court Championships's-Hertogenbosch,Netherlands,ATP 250,Grass,"673,630"
2023-06-19,Queen's Club ChampionshipsLondon,United Kingdom,ATP 500,Grass,"2,195,175"
2023-06-19,Halle OpenHalle,Germany,ATP 500,Grass,"2,195,175"
2023-06-26,Mallorca ChampionshipsSanta Ponsa,Spain,ATP 250,Grass,"915,630"
2023-06-26,Eastbourne InternationalEastbourne,United Kingdom,ATP 250,Grass,"723,655"
2023-07-17,Hall of Fame OpenNewport,United States,ATP 250,Grass,"642,735"
2023-07-17,Swedish OpenBåstad,Sweden,ATP 250,Clay,"562,815"
2023-07-17,Swiss OpenGstaad,Switzerland,ATP 250,Clay,"562,815"
2023-07-24,Atlanta OpenAtlanta,United States,ATP 250,Hard,"737,170"
2023-07-24,Croatia OpenUmag,Croatia,ATP 250,Clay,"562,815"
2023-07-24,Hamburg OpenHamburg,Germany,ATP 500,Clay,"1,831,515"
2023-07-31,Austrian OpenKitzbühel,Austria,ATP 250,Clay,"562,815"
2023-07-31,Washington OpenWashington,United States,ATP 500,Hard,"2,013,940"
2023-07-31,Los Cabos OpenLos Cabos,Mexico,ATP 250,Hard,"852,480"
2023-08-21,Winston-Salem OpenWinston-Salem,United States,ATP 250,Hard,"760,930"
2023-09-18,Chengdu OpenChengdu,China,ATP 250,Hard,"1,152,805"
2023-09-18,Zhuhai ChampionshipsZhuhai,China,ATP 250,Hard,"981,785"
2023-09-25,China OpenBeijing,China,ATP 500,Hard,"3,633,875"
2023-09-25,Astana OpenAstana,Kazakhstan,ATP 250,Hard,"1,017,850"
2023-10-16,Kremlin CupMoscow,Russia,ATP 250,Hard,
2023-10-16,Stockholm OpenStockholm,Sweden,ATP 250,Hard,"673,630"
2023-10-16,Japan OpenTokyo,Japan,ATP 500,Hard,"2,013,940"
2023-10-16,European OpenAntwerp,Belgium,ATP 250,Hard,"673,630"
2023-10-23,Swiss IndoorsBasel,Switzerland,ATP 500,Hard,"2,196,000"
2023-10-23,Vienna OpenVienna,Austria,ATP 500,Hard,"2,409,835"
2023-11-06,Moselle OpenMetz,France,ATP 250,Hard,"562,815"
2023-11-06,Sofia Open[7]Sofia,Bulgaria,ATP 250,Hard,"562,815"
2023-11-06,Tel Aviv Open[9]Tel Aviv,Israel,ATP 250,Hard,
2024-01-01,Hong Kong SAR,Hong Kong SAR,ATP 250,Hard,"739,945"
2024-01-01,Brisbane InternationalBrisbane,Australia,ATP 250,Hard,"739,945"
2024-01-08,Auckland OpenAuckland,New Zealand,ATP 250,Hard,"739,945"
2024-01-08,Adelaide InternationalAdelaide,Australia,ATP 250,Hard,"739,945"
2024-01-29,Open Sud de FranceMontpellier,France,ATP 250,Hard,"579,320"
